eventsPerDay;commitCommentEventsPerDay;createEventsPerDay;deleteEventsPerDay;downloadEventsPerDay;followEventsPerDay;forkEventsPerDay;forkApplyEventsPerDay;gistEventsPerDay;gollumEventsPerDay;issueEventsPerDay;issueCommentEventsPerDay;memberEventsPerDay;publicEventsPerDay;pullRequestEventsPerDay;pullRequestReviewEventsPerDay;pushDatesEventsPerDay;teamAddEventsPerDay;watchDatesEventsPerDay
jeycin;0.891649976609668;0.0029721665886988935;0.5290456527884031;0.0;0.0;0.0;0.01783299953219336;0.0;0.005944333177397787;0.0;0.0;0.03566599906438672;0.005944333177397787;0.0;0.047554665419182296;0.10997016378185906;0.10699799719316017;0.0;0.029721665886988935
rustamsh;0.18717897088828492;0.0;0.01871789708882849;0.0;0.0;0.0026739852984040704;0.04010977947606106;0.0;0.0026739852984040704;0.0026739852984040704;0.0;0.0;0.005347970596808141;0.005347970596808141;0.0;0.0;0.0;0.0;0.10963339723456689
neshaug;2.2826661011666696;0.007608887003888899;0.0684799830350001;0.0;0.0;0.08369775704277789;0.08369775704277789;0.0;0.0;0.0;0.44131544622555613;0.40327101120611164;0.015217774007777797;0.0;0.0;0.0;0.42609767221777833;0.0;0.7532798133850009
apburton84;230.20151513805874;0.7673383837935291;4.604030302761174;0.7673383837935291;0.0;3.0693535351741166;3.0693535351741166;0.0;0.0;4.604030302761174;31.460873735534694;125.84349494213878;0.0;0.0;20.718136362425284;4.604030302761174;23.787489897599404;0.0;6.906045454141762
CNpigCA;7.0120137545843875;0.0;0.14024027509168777;0.04674675836389592;0.0;0.0;0.0;0.0;0.0;0.02337337918194796;0.16361365427363572;1.4725228884627215;0.02337337918194796;0.0;1.3322826133710337;0.42072082527506327;3.389139981382454;0.0;0.0
seanevocorde;0.3567356132830002;0.005848124807918036;0.014620312019795089;0.002924062403959018;0.0;0.0;0.0;0.0;0.0;0.005848124807918036;0.0;0.0;0.002924062403959018;0.0;0.002924062403959018;0.002924062403959018;0.31872280203153297;0.0;0.0
ccchow;0.026014388003994894;0.0;0.020811510403195916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005202877600798979;0.0;0.0;0.0;0.0;0.0;0.0
daryltucker;0.879486615974714;0.011726488212996187;0.029316220532490465;0.005863244106498093;0.0;0.014658110266245233;0.00879486615974714;0.0;0.0;0.0;0.09967514981046759;0.3224784258573951;0.0029316220532490467;0.0;0.04983757490523379;0.0029316220532490467;0.31661518175089703;0.0;0.014658110266245233
cable729;2.9562694525552398;0.0;0.7095046686132576;0.47300311240883836;0.0;0.2266473246959017;0.2660642507299716;0.0;0.0;0.0;0.0;0.0;0.04927115754258733;0.0;0.0886880835766572;0.12810500961072707;0.19708463017034933;0.0;0.8179012152069497
krishbandaru;18.67238748661884;0.1867238748661884;0.06224129162206281;0.0;0.0;0.0;0.0;0.0;0.0;0.7468954994647536;3.2987884559693286;10.269813117640362;0.0;0.0;1.6805148737956959;0.3734477497323768;2.0539626235280726;0.0;0.0
kanpan;0.4166044066315848;0.0;0.05994308009087552;0.0;0.0;0.04196015606361286;0.058444503088603626;0.0;0.02997154004543776;0.0014985770022718878;0.011988616018175103;0.02847296304316587;0.019481501029534543;0.0;0.038963002059069086;0.0;0.0014985770022718878;0.0;0.1243818911885667
levilovelock;0.6514853816432532;0.002171617938810844;0.054290448470271105;0.0;0.008686471755243376;0.028231033204540974;0.039089122898595195;0.0;0.03691750495978435;0.02605941526573013;0.039089122898595195;0.10206604312410968;0.013029707632865066;0.002171617938810844;0.08469309961362292;0.0;0.15418487365556993;0.0;0.06080530228670364
wifiguy;2.115121355087748;0.0;0.5851835749076103;0.0;0.0;0.1621593038900607;0.705040451695916;0.0;0.0352520225847958;0.0;0.0;0.0;0.0352520225847958;0.00705040451695916;0.0;0.0;0.0;0.0;0.5851835749076103
scottdnz;0.9025718597106651;0.0;0.03309430152272439;0.003008572865702217;0.0;0.0;0.00902571859710665;0.0;0.04512859298553326;0.0180514371942133;0.08123146737395986;0.41217448260120376;0.003008572865702217;0.0;0.09326575883676873;0.13237720609089756;0.069197175911151;0.0;0.003008572865702217
prudhviy;10.137569001566787;0.0;1.6895948335944644;0.0;0.0;1.2840920735317929;1.047548796828568;0.0;0.06758379334377858;0.0;0.0;0.0;0.10137569001566786;0.10137569001566786;0.0;0.0;0.0;0.0;5.845998124236846
sorig;0.8827483388699228;0.0;0.07944735049829305;0.0;0.0;0.08238984496119278;0.08533233942409253;0.0;0.15595220653368635;0.005884988925799485;0.02353995570319794;0.09415982281279175;0.01176997785159897;0.0;0.029424944628997425;0.0;0.13535474529338815;0.0;0.17949216223688427
seanlin;0.8841604195832391;0.011788805594443189;0.06483843076943753;0.0;0.0;0.008841604195832391;0.026524812587497174;0.0;0.047155222377772754;0.15914887552498302;0.035366416783329566;0.12083525734304268;0.02063040979027558;0.026524812587497174;0.017683208391664783;0.0;0.026524812587497174;0.0;0.31829775104996605
luoyangylh;1.7229086899605872;0.0;0.5168726069881762;0.0;0.0;0.2584363034940881;0.17229086899605872;0.0;0.011486057933070582;0.0;0.0;0.0;0.0631733186318882;0.028715144832676454;0.0;0.0;0.0;0.0;0.671934389084629
sinisbad123;0.24213319195900185;0.0;0.0026318825212934983;0.0;0.0;0.08158835816009845;0.11580283093691393;0.0;0.03158259025552198;0.0;0.0;0.0;0.007895647563880495;0.0;0.0;0.0;0.0;0.0;0.0026318825212934983
chriswhocodes;0.8486819138222453;0.04526303540385308;0.016973638276444908;0.0;0.0;0.005657879425481635;0.008486819138222454;0.0;0.0;0.016973638276444908;0.10184182965866945;0.34795958466712057;0.0028289397127408177;0.005657879425481635;0.04526303540385308;0.0;0.15559168420074498;0.0;0.0961839502331878
s-r-k;6.197446040138027;0.0;0.8056679852179436;0.2892141485397746;0.0;0.0;0.0;0.0;0.0;0.0;0.2685559950726478;1.8798919655085349;0.020658153467126756;0.0;1.2188310545604788;0.5577701436124225;1.1568565941590985;0.0;0.0
alvesjnr;1.360223068186744;0.0;0.267510536743393;0.0;0.0;0.1360223068186744;0.145090460606586;0.0;0.3853965359862441;0.0;0.004534076893955813;0.004534076893955813;0.009068153787911626;0.009068153787911626;0.013602230681867439;0.0;0.04080669204560232;0.0;0.3445898439406418
klcant;7.3022374089227595;0.024340791363075865;0.2190671222676828;0.0;0.024340791363075865;0.0;0.0;0.0;0.0;0.0;1.801218560867614;4.089252948996745;0.024340791363075865;0.0;0.2190671222676828;0.0;0.4381342445353656;0.0;0.4624750358984414
johnaoahra80;2.5263263773912503;0.06736870339710001;0.0926319671710125;0.0;0.0;0.0;0.0421054396231875;0.0;0.0;0.0;0.0;0.185263934342025;0.016842175849275002;0.0;0.25263263773912503;0.084210879246375;1.7768495520985126;0.0;0.008421087924637501
johnborges;0.8735850037809851;0.011647800050413135;0.05532705023946239;0.002911950012603284;0.0;0.011647800050413135;0.026207550113429554;0.0;0.005823900025206568;0.05532705023946239;0.10483020045371821;0.36108180156280717;0.002911950012603284;0.002911950012603284;0.05823900025206567;0.011647800050413135;0.13103775056714778;0.0;0.03203145013863612
garvinwang;16.00253867434525;0.05334179558115084;0.10668359116230168;0.0;0.0;0.0;0.05334179558115084;0.0;0.0;0.0;2.7204315746386927;6.774408038806157;0.10668359116230168;0.0;2.2403554144083353;0.6934433425549609;2.933798756963296;0.0;0.0
xidianljg;2.2428400446629753;0.10466586875093885;0.0822374683043091;0.007476133482209918;0.0;0.09718973526872893;0.06728520133988926;0.0;0.0;0.014952266964419836;0.1644749366086182;0.456044142414805;0.007476133482209918;0.0;0.08971360178651902;0.0;0.5083770767902744;0.0;0.6429474794700529
holoturoide;2.0077003674509943;0.013384669116339962;0.046846341907189865;0.0;0.0;0.16061602939607955;0.20077003674509944;0.0;0.0;0.006692334558169981;0.06692334558169981;0.4015400734901989;0.006692334558169981;0.0;0.26769338232679923;0.0;0.0;0.0;0.8365418197712476
ameyms;304.17893983312405;3.0417893983312405;1.0139297994437468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.52933237886238;185.54915329820565;0.0;0.0;48.66863037329985;2.0278595988874937;23.320385387206176;0.0;1.0139297994437468
ccotter;0.8549913268848559;0.011399884358464746;0.05414945070270755;0.0;0.0;0.011399884358464746;0.019949797627313307;0.0;0.0;0.0427495663442428;0.13109867012234458;0.22799768716929492;0.0028499710896161866;0.0028499710896161866;0.039899595254626614;0.0028499710896161866;0.2764471956927701;0.0;0.031349681985778054
lucasmerencia;8.40344852628412;0.0;0.9804023280664808;0.056022990175227466;0.0;1.596655219993983;0.5322184066646609;0.0;0.0;0.0;0.028011495087613733;0.028011495087613733;0.0;0.056022990175227466;0.056022990175227466;0.0;0.42017242631420604;0.0;4.64990818454388
the-paulus;0.7738195587132755;0.010317594116177007;0.030952782348531018;0.0025793985290442517;0.0;0.012896992645221258;0.0025793985290442517;0.0;0.0077381955871327545;0.0025793985290442517;0.0;0.14960511468456658;0.0025793985290442517;0.0;0.015476391174265509;0.0025793985290442517;0.513300307279806;0.0;0.020635188232354013
binarycodes;1.8564442860800698;0.0;0.024752590481067597;0.006188147620266899;0.0;0.006188147620266899;0.0;0.0;0.0;0.0;0.3527244143552133;0.9405984382805688;0.006188147620266899;0.0;0.21658516670934147;0.08663406668373659;0.20420887146880767;0.0;0.012376295240533798
icebreaker;58.516762614290556;0.0;5.26650863528615;0.0;0.0;3.9011175076193703;4.486285133762276;0.0;4.291229258381308;0.0;0.0;0.0;0.39011175076193705;0.5851676261429055;0.0;0.0;0.0;0.0;39.59634270233661
