user;eventsPerDay;commitCommentEventsPerDay;createEventsPerDay;deleteEventsPerDay;downloadEventsPerDay;followEventsPerDay;forkEventsPerDay;forkApplyEventsPerDay;gistEventsPerDay;gollumEventsPerDay;issueEventsPerDay;issueCommentEventsPerDay;memberEventsPerDay;publicEventsPerDay;pullRequestEventsPerDay;pullRequestReviewEventsPerDay;pushDatesEventsPerDay;teamAddEventsPerDay;watchDatesEventsPerDay
AKumar-Designs;0.13241176380438616;0.0;0.03310294095109654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09930882285328961
AzizLight;9.456199228108552;0.0;1.1662645714667215;0.0;0.0;0.8510579305297697;0.8825785946234649;0.0;0.0;0.0;0.22064464865586622;0.3782479691243421;0.2521653127495614;0.0;0.18912398456217105;0.0;0.3467273050306469;0.0;5.169388911366009
eldy;5.163915467181942;0.06885220622909256;0.0;0.0;0.0;0.01721305155727314;0.0;0.0;0.0;0.0;0.0;1.4286832792536708;0.0;0.0;2.6852360429346103;0.0;0.9639308872072959;0.0;0.0
mgall;38.31511930503656;1.1880657148848546;0.29701642872121364;0.29701642872121364;0.0;0.0;0.0;0.0;0.0;0.0;10.098558576521265;15.444854293503111;0.0;0.0;5.0492792882606325;2.376131429769709;3.564197144654564;0.0;0.0
tiagoreul;0.41646708869188664;0.0;0.0;0.0;0.0;0.002570784498098066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4138963041937886;0.0;0.0
PuercoPop;19.470173902004632;0.0;2.336420868240556;0.0;0.0;1.4927133324870219;1.8172162308537658;0.0;0.8437075357535341;0.0;0.19470173902004634;0.3894034780400927;0.12980115934669756;0.0;0.0;0.0;3.6344324617075316;0.0;8.631777096555387
hossimo;0.2702300684405741;0.0;0.0035094814083191446;0.0;0.0;0.0035094814083191446;0.0;0.0;0.0;0.007018962816638289;0.05966118394142546;0.05966118394142546;0.0035094814083191446;0.0035094814083191446;0.0;0.0;0.12985081210780836;0.0;0.0
jgraham909;9.990075445882274;0.033300251486274246;0.26640201189019397;0.033300251486274246;0.0;0.23310176040391972;0.26640201189019397;0.0;0.0;0.0;1.4652110653960668;3.929429675380361;0.0;0.0;0.8325062871568562;0.6660050297254849;1.3986105624235183;0.0;0.8658065386431304
zanematthew;15.63618836539697;0.0;0.31272376730793944;0.0;0.0;0.0;0.052120627884656566;0.0;0.0;0.0;5.47266592788894;8.02657669423711;0.0;0.10424125576931313;0.052120627884656566;0.0;1.459377580770384;0.0;0.15636188365396972
church29;15.0399847743364;0.300799695486728;0.0;0.0;0.0;0.20053313032448533;0.10026656516224267;0.0;0.0;0.40106626064897066;3.308796650354008;6.8682597136136225;0.0;0.0;1.804798172920368;1.1029322167846694;0.8522658038790627;0.0;0.10026656516224267
skhome;0.335961422713803;0.0;0.039691644877580104;0.0;0.0;0.026933616166929356;0.03827408613195224;0.0;0.004252676236883583;0.0;0.011340469965022887;0.024098498675673635;0.032603851149440796;0.0;0.008505352473767165;0.0;0.008505352473767165;0.0;0.14175587456278607
xanthousphoenix;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
martindale;58.28176716074255;0.0;9.130810188516334;0.0;0.0;14.181896675780687;7.188084616491581;0.0;0.19427255720247516;0.0;0.19427255720247516;0.9713627860123758;0.7770902288099006;0.0;1.9427255720247516;0.0;1.3599079004173262;0.0;22.341344078284646
bmrb;0.041849670172286954;0.0;0.025109802103372172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01673986806891478;0.0;0.0;0.0;0.0;0.0;0.0;0.0
williamstein92;0.7702771970358372;0.0;0.0;0.0;0.0;0.0;0.01588200406259458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543951929732426;0.0;0.0
oneluiz;1.6238015056377437;0.11512025599670571;0.02423584336772752;0.0;0.0;0.02423584336772752;0.01211792168386376;0.0;0.0;0.01211792168386376;0.351419728832049;0.6119550450351199;0.0605896084193188;0.0;0.0;0.0;0.39989141556750407;0.0;0.01211792168386376
LuizArmesto;18.527360737434705;0.4940629529982588;0.6793365603726058;0.1235157382495647;0.0;0.30878934562391175;0.2470314764991294;0.0;0.0;0.0;1.6674624663691235;9.4489539760917;0.0;0.0;0.9881259059965176;0.1235157382495647;3.520198540112594;0.0;0.9263680368717353
tinyladi;0.7699656585886263;0.018405553591759993;0.10123054475467996;0.0;0.0;0.039878699448813316;0.03374351491822665;0.0;0.0;0.003067592265293332;0.042946291714106646;0.10736572928526662;0.021473145857053323;0.006135184530586664;0.018405553591759993;0.0;0.12270369061173328;0.0;0.25461015801934656
lassebunk;0.8708287195145694;0.014513811991909492;0.020319336788673287;0.0;0.0;0.008708287195145695;0.06966629756116556;0.0;0.0;0.0;0.08998563434983885;0.2728596654478984;0.0;0.0;0.05515248556925607;0.005805524796763797;0.14513811991909492;0.0;0.18867955589482338
tobami;6.014844971547834;0.0;0.0;0.0;0.0;0.0;0.14034638266944946;0.0;0.0;0.0;0.7819298463012184;3.2881152511128158;0.0;0.0;0.8220288127782039;0.060148449715478336;0.38094018153136283;0.0;0.5413360474393051
omerk;3.534388013624848;0.011781293378749494;0.3770013881199838;0.0;0.0;0.1767194006812424;0.22384457419624038;0.0;0.20028198743874137;0.05890646689374746;0.1295942271662444;0.3416575079837353;0.0;0.03534388013624848;0.1649381073024929;0.011781293378749494;1.4490990855861876;0.0;0.3534388013624848
